Validation Fold,Training Acc,Validation Acc
0,82.10138702392578,71.88940092165899
1,83.56989288330078,68.20276497695852
2,78.99232482910156,68.31797235023042
3,82.52688598632812,73.03225806451613
4,75.46611022949219,68.95161290322581
